# Revision 1.0,,,,,,,,,,,,,,,
"# October 26, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
A1,VSSADPHY,-,-,-,-,-,,,A1,VSSADPHY,-,-,-,-,-
A10,NC,-,-,-,-,-,,,A10,VSSSD,-,-,-,-,-
A11,NC,-,-,-,-,-,,,A11,SD0_TXDN,80,-,Comp_OF_SD0_TXDP,-,-
A12,NC,-,-,-,-,-,,,A12,SD0_TXDP,80,-,True_OF_SD0_TXDN,-,-
A13,NC,-,-,-,-,-,,,A13,VSSSD,-,-,-,-,-
A14,NC,-,-,-,-,-,,,A14,SD0_RXDN,80,-,Comp_OF_SD0_RXDP,-,-
A15,NC,-,-,-,-,-,,,A15,SD0_RXDP,80,-,True_OF_SD0_RXDN,-,-
A16,NC,-,-,-,-,-,,,A16,VSSSD,-,-,-,-,-
A2,VCCPLLDPHY0,60,-,-,-,-,,,A2,VCCPLLDPHY0,60,-,-,-,-
A3,DPHY1_DP2,61,-,True_OF_DPHY1_DN2,-,-,,,A3,DPHY1_DP2,61,-,True_OF_DPHY1_DN2,-,-
A4,DPHY1_DP0,61,-,True_OF_DPHY1_DN0,-,-,,,A4,DPHY1_DP0,61,-,True_OF_DPHY1_DN0,-,-
A5,DPHY1_CKP,61,-,True_OF_DPHY1_CKN,-,-,,,A5,DPHY1_CKP,61,-,True_OF_DPHY1_CKN,-,-
A6,DPHY1_DP1,61,-,True_OF_DPHY1_DN1,-,-,,,A6,DPHY1_DP1,61,-,True_OF_DPHY1_DN1,-,-
A7,DPHY1_DP3,61,-,True_OF_DPHY1_DN3,-,-,,,A7,DPHY1_DP3,61,-,True_OF_DPHY1_DN3,-,-
A8,VSSADPHY,-,-,-,-,-,,,A8,VSSADPHY,-,-,-,-,-
A9,NC,-,-,-,-,-,,,A9,SD_REFCLKP,-,-,-,-,-
B1,DPHY0_DP3,60,-,True_OF_DPHY0_DN3,-,-,,,B1,DPHY0_DP3,60,-,True_OF_DPHY0_DN3,-,-
