# Pin Out For LIFCL-40,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
"# Revision 1.1, May 20, 2020",,,,,,,,,,,,
"#  - Added CSFBGA121, CABGA256 packages",,,,,,,,,,,,
"# Revision 1.2,Oct 26, 2020",,,,,,,,,,,,
#  - Removed references to PMU,,,,,,,,,,,,
"# Revision 1.21, December 29, 2020",,,,,,,,,,,,
# - Removed reference of PMU_EXT_CLK,,,,,,,,,,,,
,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK,Dual Function,LVDS,HIGHSPEED,DQS,CABGA400,CSBGA289,QFN72,CSFBGA121,CABGA256
1,VSS,-,-,-,-,-,,-,-,-,-,-
2,NC,-,-,-,-,-,,-,-,-,-,-
3,NC,-,-,-,-,-,,-,-,-,-,-
4,VCCPLL_ULC,VCC,-,-,-,-,,-,-,5,-,-
5,VCC,-,-,-,-,-,,-,-,5,-,-
6,VCC,-,-,-,-,-,,-,-,6,-,-
7,NC,-,-,-,-,-,,-,-,-,-,-
8,NC,-,-,-,-,-,,-,-,-,-,-
9,NC,-,-,-,-,-,,-,-,-,-,-
10,NC,-,-,-,-,-,,-,-,-,-,-
11,VSS,-,-,-,-,-,,-,-,-,-,-
14,NC,-,-,-,-,-,,-,-,-,-,-
15,VCC,-,-,-,-,-,,-,-,6,-,-
16,VSSIO7,VSS,-,-,-,-,,-,-,-,-,-
19,NC,-,-,-,-,-,,-,-,-,-,-
20,VCCIO7,-,7,-,-,-,,-,-,-,-,-
23,NC,-,-,-,-,-,,-,-,-,-,-
24,VSS,-,-,-,-,-,,-,-,-,-,-
25,NC,-,-,-,-,-,,-,-,-,-,-
26,VCCAUXA,VCCAUX,-,-,-,-,,-,-,7,-,-
27,NC,-,-,-,-,-,,-,-,-,-,-
28,NC,-,-,-,-,-,,-,-,-,-,-
29,VCCAUX,-,-,-,-,-,,-,-,7,-,-
30,NC,-,-,-,-,-,,-,-,-,-,-
31,NC,-,-,-,-,-,,-,-,-,-,-
32,PL8A,-,7,-,True_OF_PL8B,-,,D4,-,-,-,-
33,PL8B,-,7,-,Comp_OF_PL8A,-,,D3,-,-,-,-
34,NC,-,-,-,-,-,,-,-,-,-,-
35,VSS,-,-,-,-,-,,-,-,-,-,-
36,VSS,-,-,-,-,-,,-,-,-,-,-
37,PL10A,-,7,-,True_OF_PL10B,-,,E10,-,-,-,-
38,PL10B,-,7,-,Comp_OF_PL10A,-,,E9,-,-,-,-
39,VCCIO7,-,7,-,-,-,,-,-,-,-,-
40,VCC,-,-,-,-,-,,-,-,-,-,-
41,VSSIO7,VSS,-,-,-,-,,-,-,-,-,-
42,NC,-,-,-,-,-,,-,-,-,-,-
43,PL11A,-,7,-,True_OF_PL11B,-,,E7,-,-,-,-
44,PL11B,-,7,-,Comp_OF_PL11A,-,,E8,-,-,-,-
45,VSS,-,-,-,-,-,,-,-,-,-,-
46,NC,-,-,-,-,-,,-,-,-,-,-
47,VCC,-,-,-,-,-,,-,-,-,-,-
48,NC,-,-,-,-,-,,-,-,-,-,-
49,PL13A,-,7,-,True_OF_PL13B,-,,E4,E5,-,-,-
50,PL13B,-,7,-,Comp_OF_PL13A,-,,E3,E4,-,-,-
51,VSS,-,-,-,-,-,,-,-,-,-,-
52,VSS,-,-,-,-,-,,-,-,-,-,-
53,PL15A,-,7,-,True_OF_PL15B,-,,E2,F7,-,-,-
54,PL15B,-,7,-,Comp_OF_PL15A,-,,F1,F6,-,-,-
55,VCC,-,-,-,-,-,,-,-,-,-,-
56,VCC,-,-,-,-,-,,-,-,-,-,-
59,NC,-,-,-,-,-,,-,-,-,-,-
60,VSSIO7,VSS,-,-,-,-,,-,-,-,-,-
61,NC,-,-,-,-,-,,-,-,-,-,-
62,NC,-,-,-,-,-,,-,-,-,-,-
63,VCCIO7,-,7,-,-,-,,-,-,-,-,-
66,NC,-,-,-,-,-,,-,-,-,-,-
67,VSS,-,-,-,-,-,,-,-,-,-,-
68,NC,-,-,-,-,-,,-,-,-,-,-
69,VCCAUX,-,-,-,-,-,,-,-,-,-,-
71,PL20B,-,7,-,Comp_OF_PL20A,-,,K4,H8,-,-,-
72,NC,-,-,-,-,-,,-,-,-,-,-
73,VSS,-,-,-,-,-,,-,-,-,-,-
76,VCCIO6,-,6,-,-,-,,-,-,-,-,-
77,VSSIO6,VSS,-,-,-,-,,-,-,-,-,-
78,NC,-,-,-,-,-,,-,-,-,-,-
81,NC,-,-,-,-,-,,-,-,-,-,-
82,NC,-,-,-,-,-,,-,-,-,-,-
83,VSS,-,-,-,-,-,,-,-,-,-,-
86,NC,-,-,-,-,-,,-,-,-,-,-
87,VCC,-,-,-,-,-,,-,-,-,-,-
88,NC,-,-,-,-,-,,-,-,-,-,-
91,VSS,-,-,-,-,-,,-,-,-,-,-
92,NC,-,-,-,-,-,,-,-,-,-,-
93,VSS,-,-,-,-,-,,-,-,-,-,-
94,VCC,-,-,-,-,-,,-,-,-,-,-
95,VCC,-,-,-,-,-,,-,-,-,-,-
98,NC,-,-,-,-,-,,-,-,-,-,-
99,VSSIO6,VSS,-,-,-,-,,-,-,-,-,-
100,NC,-,-,-,-,-,,-,-,-,-,-
101,NC,-,-,-,-,-,,-,-,-,-,-
102,VCCIO6,-,6,-,-,-,,-,-,-,-,-
105,NC,-,-,-,-,-,,-,-,-,-,-
106,NC,-,-,-,-,-,,-,-,-,-,-
107,VSS,-,-,-,-,-,,-,-,-,-,-
108,NC,-,-,-,-,-,,-,-,-,-,-
109,VCCAUX,-,-,-,-,-,,-,-,-,-,-
112,VSS,-,-,-,-,-,,-,-,-,-,-
113,NC,-,-,-,-,-,,-,-,-,-,-
114,VSS,-,-,-,-,-,,-,-,-,-,-
117,VCC,-,-,-,-,-,,-,-,-,-,-
118,NC,-,-,-,-,-,,-,-,-,-,-
119,VCCIO6,-,6,-,-,-,,-,-,-,-,-
120,NC,-,-,-,-,-,,-,-,-,-,-
121,VSSIO6,VSS,-,-,-,-,,-,-,-,-,-
122,NC,-,-,-,-,-,,-,-,-,-,-
125,NC,-,-,-,-,-,,-,-,-,-,-
126,NC,-,-,-,-,-,,-,-,-,-,-
127,VSS,-,-,-,-,-,,-,-,-,-,-
128,NC,-,-,-,-,-,,-,-,-,-,-
131,VCC,-,-,-,-,-,,-,-,-,-,-
132,NC,-,-,-,-,-,,-,-,-,-,-
133,VSS,-,-,-,-,-,,-,-,-,-,-
134,PL44A,-,6,-,True_OF_PL44B,-,,P1,M3,-,-,-
135,PL44B,-,6,-,Comp_OF_PL44A,-,,P2,M4,-,-,-
136,VSS,-,-,-,-,-,,-,-,-,-,-
137,VCC,-,-,-,-,-,,-,-,-,-,-
138,VCC,-,-,-,-,-,,-,-,-,-,-
141,VSSIO6,VSS,-,-,-,-,,-,-,-,-,-
142,NC,-,-,-,-,-,,-,-,-,-,-
143,NC,-,-,-,-,-,,-,-,-,-,-
144,VCCIO6,-,6,-,-,-,,-,-,-,-,-
147,VSS,-,-,-,-,-,,-,-,-,-,-
148,NC,-,-,-,-,-,,-,-,-,-,-
151,VCCAUX,-,-,-,-,-,,-,-,-,-,-
152,NC,-,-,-,-,-,,-,-,-,-,-
153,NC,-,-,-,-,-,,-,-,-,-,-
154,VCCPLL_LLC,VCC,-,-,-,-,,-,-,12,-,-
155,VSS,-,-,-,-,-,,-,-,-,-,-
156,NC,-,-,-,-,-,,-,-,-,-,-
157,NC,-,-,-,-,-,,-,-,-,-,-
158,VSS,-,-,-,-,-,,-,-,-,-,-
159,NC,-,-,-,-,-,,-,-,-,-,-
160,NC,-,-,-,-,-,,-,-,-,-,-
161,VCCCDR,VCC,-,-,-,-,,-,-,12,-,-
162,VCCECLK,VCC,-,-,-,-,,-,-,12,-,-
163,NC,-,-,-,-,-,,-,-,-,-,-
164,NC,-,-,-,-,-,,-,-,-,-,-
165,VCCECLK,VCC,-,-,-,-,,-,-,-,-,-
166,NC,-,-,-,-,-,,-,-,-,-,-
167,NC,-,-,-,-,-,,-,-,-,-,-
168,NC,-,-,-,-,-,,-,-,-,-,-
169,NC,-,-,-,-,-,,-,-,-,-,-
170,NC,-,-,-,-,-,,-,-,-,-,-
171,NC,-,-,-,-,-,,-,-,-,-,-
172,VCCAUXH5,VCCAUX,5,-,-,-,,-,-,17,-,-
174,NC,-,-,-,-,-,,-,-,-,-,-
175,NC,-,-,-,-,-,,-,-,-,-,-
176,NC,-,-,-,-,-,,-,-,-,-,-
177,VSS,-,-,-,-,-,,-,-,-,-,-
180,NC,-,-,-,-,-,,-,-,-,-,-
181,NC,-,-,-,-,-,,-,-,-,-,-
182,NC,-,-,-,-,-,,-,-,-,-,-
183,NC,-,-,-,-,-,,-,-,-,-,-
184,VCCIO5,-,5,-,-,-,,-,-,18,-,-
185,NC,-,-,-,-,-,,-,-,-,-,-
188,NC,-,-,-,-,-,,-,-,-,-,-
189,VSSIO5,VSS,-,-,-,-,,-,-,-,-,-
192,NC,-,-,-,-,-,,-,-,-,-,-
193,NC,-,-,-,-,-,,-,-,-,-,-
194,NC,-,-,-,-,-,,-,-,-,-,-
195,NC,-,-,-,-,-,,-,-,-,-,-
196,VSS,-,-,-,-,-,,-,-,-,-,-
197,NC,-,-,-,-,-,,-,-,-,-,-
198,NC,-,-,-,-,-,,-,-,-,-,-
201,VSS,-,-,-,-,-,,-,-,-,-,-
202,VCC,-,-,-,-,-,,-,-,21,-,-
203,NC,-,-,-,-,-,,-,-,-,-,-
204,VCC,-,-,-,-,-,,-,-,-,-,-
206,VSSIO5,VSS,-,-,-,-,,-,-,-,-,-
207,VCCAUXH5,VCCAUX,5,-,-,-,,-,-,-,-,-
208,NC,-,-,-,-,-,,-,-,-,-,-
209,NC,-,-,-,-,-,,-,-,-,-,-
210,VCCIO5,-,5,-,-,-,,-,-,-,-,-
211,NC,-,-,-,-,-,,-,-,-,-,-
212,NC,-,-,-,-,-,,-,-,-,-,-
214,VCCAUXH4,VCCAUX,4,-,-,-,,-,-,-,-,-
217,VSS,-,-,-,-,-,,-,-,-,-,-
218,NC,-,-,-,-,-,,-,-,-,-,-
219,NC,-,-,-,-,-,,-,-,-,-,-
220,NC,-,-,-,-,-,,-,-,-,-,-
221,NC,-,-,-,-,-,,-,-,-,-,-
223,VSS,-,-,-,-,-,,-,-,-,-,-
224,VCCIO4,-,4,-,-,-,,-,-,-,-,-
226,NC,-,-,-,-,-,,-,-,-,-,-
227,NC,-,-,-,-,-,,-,-,-,-,-
228,VSSIO4,VSS,-,-,-,-,,-,-,-,-,-
230,VCC,-,-,-,-,-,,-,-,-,-,-
232,VCC,-,-,-,-,-,,-,-,21,-,-
233,NC,-,-,-,-,-,,-,-,-,-,-
234,NC,-,-,-,-,-,,-,-,-,-,-
237,VSS,-,-,-,-,-,,-,-,-,-,-
238,NC,-,-,-,-,-,,-,-,-,-,-
239,NC,-,-,-,-,-,,-,-,-,-,-
242,VCC,-,-,-,-,-,,-,-,21,-,-
243,VSS,-,-,-,-,-,,-,-,-,-,-
245,VSSIO4,VSS,-,-,-,-,,-,-,-,-,-
247,NC,-,-,-,-,-,,-,-,-,-,-
248,VCCECLK,VCC,-,-,-,-,,-,-,21,-,-
